(25, 27)
(2, 25)
(22, 3)
(34, 5)
(37, 1)
(22, 12)
(34, 14)
(3, 8)
(14, 8)
(22, 21)
(37, 10)
(34, 23)
(3, 17)
(14, 17)
(37, 19)
(14, 26)
(3, 26)
(15, 0)
(26, 0)
(38, 2)
(15, 9)
(26, 9)
(38, 11)
(7, 5)
(18, 5)
(15, 18)
(26, 18)
(7, 14)
(18, 14)
(7, 23)
(18, 23)
(27, 1)
(29, 20)
(6, 27)
(29, 29)
(19, 6)
(21, 25)
(30, 6)
(0, 2)
(11, 2)
(33, 8)
(25, 4)
(10, 15)
(33, 17)
(25, 13)
(10, 24)
(33, 26)
(2, 20)
(25, 22)
(34, 0)
(2, 29)
(22, 7)
(34, 9)
(3, 3)
(14, 3)
(22, 16)
(34, 18)
(37, 5)
(3, 12)
(14, 12)
(22, 25)
(37, 14)
(14, 21)
(3, 21)
(37, 23)
(36, 27)
(15, 4)
(26, 4)
(7, 0)
(18, 0)
(15, 13)
(26, 13)
(7, 9)
(18, 9)
(18, 18)
(29, 15)
(21, 11)
(6, 22)
(29, 24)
(21, 20)
(21, 29)
(10, 1)
(33, 3)
(10, 10)
(33, 12)
(2, 6)
(25, 8)
(7, 8)
(10, 19)
(33, 21)
(2, 15)
(25, 17)
(10, 28)
(25, 26)
(2, 24)
(22, 2)
(34, 4)
(37, 0)
(22, 11)
(3, 7)
(14, 7)
(22, 20)
(37, 9)
(3, 16)
(14, 16)
(14, 25)
(3, 25)
(36, 22)
(17, 18)
(17, 27)
(28, 27)
(7, 4)
(18, 4)
(9, 23)
(29, 1)
(26, 12)
(6, 8)
(29, 10)
(21, 6)
(6, 17)
(29, 19)
(21, 15)
(6, 26)
(29, 28)
(21, 24)
(10, 5)
(33, 7)
(2, 1)
(25, 3)
(10, 14)
(33, 16)
(2, 10)
(25, 12)
(10, 23)
(2, 19)
(25, 21)
(2, 28)
(32, 29)
(22, 6)
(13, 25)
(3, 2)
(14, 2)
(37, 4)
(3, 11)
(14, 11)
(36, 8)
(36, 17)
(17, 13)
(28, 13)
(36, 26)
(5, 20)
(17, 22)
(28, 22)
(9, 18)
(5, 29)
(9, 27)
(27, 18)
(6, 3)
(29, 5)
(21, 1)
(6, 12)
(29, 14)
(21, 10)
(6, 21)
(29, 23)
(21, 19)
(21, 28)
(10, 0)
(33, 2)
(10, 9)
(33, 11)
(2, 5)
(25, 7)
(10, 18)
(2, 14)
(32, 15)
(25, 16)
(2, 23)
(32, 24)
(22, 1)
(13, 20)
(24, 20)
(35, 20)
(13, 29)
(24, 29)
(14, 6)
(16, 25)
(1, 27)
(35, 29)
(36, 3)
(36, 12)
(17, 8)
(28, 8)
(36, 21)
(9, 4)
(5, 15)
(17, 17)
(28, 17)
(9, 13)
(5, 24)
(17, 26)
(28, 26)
(9, 22)
(29, 0)
(6, 7)
(29, 9)
(21, 5)
(6, 16)
(29, 18)
(21, 14)
(6, 25)
(21, 23)
(20, 27)
(31, 27)
(10, 4)
(2, 0)
(25, 2)
(10, 13)
(2, 9)
(32, 10)
(13, 6)
(2, 18)
(32, 19)
(13, 15)
(24, 15)
(32, 28)
(16, 11)
(35, 15)
(1, 22)
(13, 24)
(24, 24)
(16, 20)
(35, 24)
(16, 29)
(36, 7)
(5, 1)
(17, 3)
(28, 3)
(36, 16)
(5, 10)
(17, 12)
(28, 12)
(9, 8)
(36, 25)
(5, 19)
(17, 21)
(28, 21)
(9, 17)
(5, 28)
(9, 26)
(6, 2)
